Episode,Total_Reward,Avg_SINR,Detection_Rate_Steps,Steps
1,175.0,-18.826036,100.0,1
2,875.0,10.009435,100.0,5
3,2275.0,25.740578,100.0,13
4,525.0,12.152347,100.0,3
5,175.0,-25.527369,100.0,1
6,3540.0,21.464848,90.9090909090909,22
7,2840.0,20.65792,88.88888888888889,18
8,1245.0,18.33321,87.5,8
9,175.0,-19.852983,100.0,1
10,1070.0,21.773129,85.71428571428571,7
11,875.0,15.275328,100.0,5
12,1750.0,15.043793,100.0,10
13,3715.0,24.806242,91.30434782608695,23
14,410.0,18.731455,40.0,5
15,175.0,-25.999998,100.0,1
16,1420.0,18.820976,88.88888888888889,9
17,175.0,-25.999998,100.0,1
18,3150.0,21.5962,100.0,18
19,545.0,10.483741,75.0,4
20,2315.0,17.879032,86.66666666666667,15
21,3850.0,21.559324,100.0,22
22,1245.0,24.012794,87.5,8
23,1400.0,15.452805,100.0,8
24,175.0,-25.999998,100.0,1
25,1225.0,14.499647,100.0,7
26,2820.0,21.052925,94.11764705882352,17
27,3150.0,15.275515,100.0,18
28,3675.0,18.81285,100.0,21
29,3150.0,19.80587,100.0,18
30,2120.0,22.771364,92.3076923076923,13
31,895.0,15.42096,83.33333333333334,6
32,2975.0,22.501556,100.0,17
33,4200.0,24.318716,100.0,24
34,4805.0,21.484798,87.09677419354838,31
35,720.0,5.4811025,80.0,5
36,1050.0,13.638042,100.0,6
37,3230.0,23.787209,81.81818181818183,22
38,5600.0,23.280807,100.0,32
39,1400.0,21.421911,100.0,8
40,1945.0,21.082388,91.66666666666666,12
41,2295.0,21.209705,92.85714285714286,14
42,8225.0,25.649551,100.0,47
43,720.0,18.8,80.0,5
44,370.0,-2.4806442,66.66666666666666,3
45,700.0,19.271,100.0,4
46,1750.0,16.512695,100.0,10
47,2820.0,24.295822,94.11764705882352,17
48,875.0,18.49923,100.0,5
49,875.0,20.142122,100.0,5
50,525.0,0.22680919,100.0,3
51,1265.0,18.629608,77.77777777777779,9
52,2645.0,19.427639,93.75,16
53,895.0,15.869476,83.33333333333334,6
54,2275.0,14.43127,100.0,13
55,2100.0,18.276905,100.0,12
56,5425.0,20.968225,100.0,31
57,3345.0,18.180561,95.0,20
58,1245.0,18.007936,87.5,8
59,4085.0,22.541979,88.46153846153845,26
60,3675.0,20.104435,100.0,21
61,1790.0,23.127022,83.33333333333334,12
62,3695.0,20.917753,95.45454545454545,22
63,7000.0,23.12994,100.0,40
64,5915.0,18.874798,82.5,40
65,350.0,-13.887455,100.0,2
66,1225.0,20.340809,100.0,7
67,1245.0,12.138817,87.5,8
68,1655.0,20.348204,69.23076923076923,13
69,1050.0,15.166829,100.0,6
70,5465.0,19.547112,93.93939393939394,33
71,2820.0,21.26411,94.11764705882352,17
72,1925.0,21.275696,100.0,11
73,175.0,-12.514793,100.0,1
74,175.0,-25.999998,100.0,1
