Episode,Total_Reward,Avg_SINR,Steps
1,2.3647357948111534,12.271101,5
2,-22.248119935664644,-30.0,1
3,-22.290855659241135,-30.0,1
4,5.949286347857232,17.990967,5
5,-12.678475386490192,10.0,3
6,15.135689345109746,15.448415,8
7,59.45665892318324,23.97405,19
8,-5.562153674135509,2.919047,3
9,16.174766156332286,21.428572,7
10,30.549608406228018,22.833979,10
11,-22.261554255464507,-30.0,1
12,-7.355789770099934,-3.1566849,2
13,11.573366125609173,18.02294,6
14,-2.994242956236329,6.4856834,3
15,48.08487980044079,24.353842,14
16,-22.411876649900023,-30.0,1
17,-9.644503352014793,-8.799158,2
18,-2.53588762637329,10.0,3
19,53.99958934565884,23.050962,15
20,-2.6757311067411624,10.0,3
21,-12.902886085298636,10.0,3
22,50.276963181469554,25.560347,14
23,-7.6942854263488005,0.0,2
24,4.722814191207366,16.515766,8
25,59.83321068212297,22.610071,17
26,-22.31556993933493,-30.0,1
27,-11.799635546263598,8.597126,4
28,12.140045488391156,13.20048,7
29,-12.16872358977847,-30.0,1
30,-2.7969124703951067,6.393824,3
31,74.22421468081197,24.029095,20
32,7.108362446484861,19.458693,7
33,19.64745232307769,22.5,8
34,11.736612752188154,20.0,6
35,-12.16756261958287,-30.0,1
36,6.448266530434886,19.621218,7
37,-4.064634614831558,18.0,5
38,-13.23212604504927,9.894211,3
39,27.93117055946116,21.046122,10
40,6.118699247646557,16.118565,5
41,-18.59210193943179,-6.814638,2
42,-8.460351952378254,0.0,2
43,-17.564988363462916,0.0,2
44,-6.3722289434729555,1.9812521,3
45,8.27463737900311,14.507329,6
46,-14.161508286609038,10.0,3
47,-13.290073452032058,10.0,3
48,-6.9596771512339854,2.4376526,3
49,6.8707081979304725,17.249487,5
50,7.653456275351658,16.472864,6
51,1.9732000733719897,15.0,4
52,4.731811161809166,11.642462,5
53,12.10744605241765,15.804301,7
54,-5.762730844543533,2.4493077,3
55,13.976386597954406,18.066452,7
56,17.683361441583767,20.28468,7
57,77.72771666485254,23.791819,21
58,-7.571477327583208,0.0,2
59,-0.9597328287997442,9.471289,4
60,125.51973657923004,24.22671,33
61,-4.284060284179088,17.988789,5
62,16.256140463756353,19.473452,7
63,26.947292474298134,22.689796,9
64,-22.264022753853215,-30.0,1
65,5.707663716323804,18.0,5
66,-12.142486905748978,-30.0,1
67,1.6863938427288208,15.0,4
68,11.11368375574628,18.85158,9
69,-2.909951441516206,10.0,3
70,4.350803815023086,14.757108,5
71,-2.791579554766342,7.005924,3
72,-12.765038921943603,10.0,3
73,17.19990557371386,20.705154,10
74,66.43545984321155,24.465656,20
75,5.746611479782203,16.153229,5
76,24.163091095315853,20.765364,9
77,-8.20512536271762,13.069855,4
78,2.168744145049928,15.0,4
79,13.454788243782598,16.683521,7
80,33.35370073827805,20.134993,12
81,-22.39445780460463,-30.0,1
82,1.9785495136521192,14.600475,4
83,-12.152944915960932,-30.0,1
84,16.417464670881536,16.696524,8
85,41.6417444395816,23.267384,13
86,1.1553073769030568,20.0,6
87,37.6620697782217,21.324574,11
88,-8.600000000000001,-0.15758419,2
89,51.2905362762214,22.788668,15
90,-2.6386512203739425,6.182669,3
91,-17.6246588659205,0.0,2
92,51.77358343571025,23.766483,14
93,-12.376697705734466,-30.0,1
94,72.8765687234503,23.279768,21
95,1.8727114971671472,15.0,4
96,4.101439323139925,19.110218,7
97,-0.4739411715927897,9.907192,4
98,-13.3,-30.0,1
99,-12.374971245282861,-30.0,1
100,-13.3,-30.0,1
101,-13.3,-30.0,1
102,11.868621063131101,18.765518,6
103,-6.7785389899384505,12.337761,5
104,10.531226999148696,21.813507,8
105,-3.8453499057986313,15.374819,5
106,-17.490590312214294,0.0,2
107,34.425912895568416,23.644457,11
108,12.378730849714348,20.0,6
109,6.630392796554187,17.014446,5
110,-13.3,-30.0,1
111,1.9367346772217253,11.713436,4
112,46.125429731290524,19.30362,14
113,19.934270342692965,19.972858,8
114,-5.813605467258299,9.8524065,6
115,-22.436947561240217,-30.0,1
116,24.735087081771315,21.25355,9
117,11.070419824813287,14.942693,7
118,-12.21676211136215,-30.0,1
119,7.630128271334456,14.224857,6
120,-7.501442073542702,-0.6256571,2
121,-8.501004901628509,0.0,2
122,-12.37860643553672,-30.0,1
123,-2.581697882976149,8.178187,3
124,-13.3,-30.0,1
125,-8.52700180620672,0.0,2
126,30.74262072649324,22.256937,10
127,-12.143319026354273,-30.0,1
128,99.16065542905845,25.891392,25
129,141.54450902955384,24.509043,35
130,2.0764479421473414,15.0,4
131,-13.075963317507242,10.0,3
132,-9.020930519428244,15.0,4
133,24.08709555364816,20.81288,12
134,29.21753165918235,19.22734,11
135,-9.861575841510135,9.739485,4
136,-12.134884173684293,-30.0,1
137,-22.202614364486614,-30.0,1
138,-20.509740352313695,-9.079445,2
139,68.40586506047231,24.208696,19
140,16.02470149590956,20.906351,7
141,0.7384971895542396,15.0,4
142,36.18405031908081,23.29317,11
143,12.507473530166472,20.0,6
144,38.547079590248075,23.828142,14
145,16.294888987114227,19.541025,7
