Test_Scenario,Baseline_SINR,DRL_SINR_Avg_Eval,Baseline_Detected_Binary,DRL_Detected_In_Episode_Binary
1,6.527269,-21.503115,1,1
2,5.1463184,23.316168,1,1
3,9.277272,-4.0602436,1,1
4,12.977325,-0.15435791,1,1
5,11.543797,18.927914,1,1
6,15.299487,11.206913,1,1
7,7.966899,10.9264145,1,1
8,8.600177,-1.3059683,1,1
9,8.532988,15.507342,1,1
10,11.044024,16.0,1,1
11,9.018935,18.802076,1,1
12,7.470237,17.950937,1,1
13,10.978069,-24.205706,1,1
14,12.362818,12.588686,1,1
15,14.833477,3.073001,1,1
16,7.987797,5.925138,1,1
17,15.328036,-10.564411,1,1
18,12.067578,10.4336605,1,1
19,13.311588,13.485224,1,1
20,6.227728,16.43517,1,1
21,8.710697,6.5660043,1,1
22,11.065028,16.548824,1,1
23,13.420985,-24.754328,1,1
24,11.597594,-25.999998,1,1
25,12.280673,17.989655,1,1
26,10.53738,2.9596353,1,1
27,8.336759,13.502279,1,1
28,8.029349,7.3597445,1,1
29,14.165005,-0.3973279,1,1
30,9.061556,10.202796,1,1
31,8.782972,17.267035,1,1
32,10.705646,10.732892,1,1
33,8.66193,12.233061,1,1
34,8.233637,19.510862,1,1
35,11.803933,3.698429,1,1
36,12.568186,8.760349,1,1
37,9.956835,3.0941453,1,1
38,9.426578,-25.999998,1,1
39,9.804201,14.284873,1,1
40,11.152899,17.342585,1,1
41,9.212699,-22.691969,1,1
42,6.3925495,6.8607836,1,1
43,11.183601,7.708665,1,1
44,11.924309,1.7438103,1,1
45,9.999062,14.681697,1,1
46,7.693253,10.253159,1,1
47,7.830876,10.210367,1,1
48,8.899799,-5.471481,1,1
49,13.86449,-25.999998,1,1
50,7.8324256,5.915087,1,1
51,11.195443,10.008578,1,1
52,13.614718,15.034134,1,1
53,12.196383,11.333333,1,1
54,10.09118,17.004276,1,1
55,9.778034,14.838975,1,1
56,8.457907,18.950218,1,1
57,9.628676,13.431597,1,1
58,7.930484,8.49931,1,1
59,10.735146,15.287835,1,1
60,15.672545,10.809174,1,1
61,10.032523,5.7495875,1,1
62,12.060398,21.561338,1,1
63,7.8544445,1.3804469,1,1
64,14.35484,12.220389,1,1
65,12.36026,-17.322292,1,1
66,8.795952,20.585596,1,1
67,10.235702,5.7959766,1,1
68,11.715453,5.6299953,1,1
69,12.729,6.101221,1,1
70,10.48122,2.000001,1,1
71,7.9276342,-25.8698,1,0
72,9.5973835,16.17583,1,1
73,8.054257,-14.531159,1,1
74,16.692188,16.411098,1,1
75,8.203828,9.906057,1,1
76,12.563565,-10.565035,1,1
77,7.944792,11.074965,1,1
78,13.575418,13.144649,1,1
79,12.289112,2.000001,1,1
80,9.091273,7.754059,1,1
81,9.6095085,1.3509798,1,1
82,13.50685,16.597527,1,1
83,12.627185,9.227518,1,1
84,12.678131,11.06704,1,1
85,9.751881,5.158236,1,1
86,12.704584,17.175251,1,1
87,8.2824335,7.906887,1,1
88,8.130097,12.850055,1,1
89,6.099644,8.785748,1,1
90,9.104797,11.282307,1,1
91,7.747632,-25.999998,1,1
92,10.247732,17.009813,1,1
93,12.245498,19.571705,1,1
94,9.39866,7.9957848,1,1
95,6.627692,-7.492676,1,1
96,10.959774,-25.999998,1,1
97,8.064938,21.295244,1,1
98,11.002652,13.577692,1,1
99,10.7526245,16.488005,1,1
100,7.7638836,17.094654,1,1
